ring_id,vertex_id,x,y
0,0,-390.000000000,-140.000000000
0,1,-336.193939394,-236.472727273
0,2,-240.000000000,-290.000000000
0,3,-99.523809524,-125.714285714
0,4,-76.015451694,-278.637267651
0,5,110.000000000,-360.000000000
0,6,210.000000000,-320.000000000
0,7,286.250000000,-114.375000000
0,8,250.000000000,-60.000000000
0,9,310.000000000,-60.000000000
0,10,332.962962963,77.777777778
0,11,430.000000000,120.000000000
0,12,470.000000000,160.000000000
0,13,470.000000000,220.000000000
0,14,430.000000000,160.000000000
0,15,350.000000000,120.000000000
0,16,310.000000000,160.000000000
0,17,330.000000000,180.000000000
0,18,430.000000000,200.000000000
0,19,450.000000000,240.000000000
0,20,430.000000000,260.000000000
0,21,370.000000000,260.000000000
0,22,370.000000000,220.000000000
0,23,310.000000000,200.000000000
0,24,310.000000000,320.000000000
0,25,210.000000000,360.000000000
0,26,150.000000000,320.000000000
0,27,250.000000000,260.000000000
0,28,255.791106515,136.215098242
0,29,150.000000000,-20.000000000
0,30,50.000000000,40.000000000
0,31,65.384615385,173.846153846
0,32,170.000000000,200.000000000
0,33,170.000000000,282.500000000
0,34,10.000000000,360.000000000
0,35,-190.000000000,120.000000000
0,36,-491.000000000,34.000000000
0,37,-330.164126612,-50.410316530
1,0,-210.000000000,-90.000000000
1,1,-50.000000000,-20.000000000
1,2,-170.392156863,-151.764705882
1,3,-290.000000000,-80.000000000
1,4,-246.000000000,8.000000000
1,5,-152.236421725,33.865814696
2,0,110.000000000,-260.000000000
2,1,32.857142857,-157.142857143
2,2,170.000000000,-60.000000000
2,3,259.655172414,65.517241379
2,4,310.000000000,20.000000000
2,5,200.000000000,-80.000000000
Total signed area in input: 2.840000e+05
Total signed area in output: 2.840000e+05
Total areal displacement: 3.724604e+04
