ring_id,vertex_id,x,y
0,0,0.000000000,0.000000000
0,1,200.000000000,-80.000000000
0,2,400.000000000,0.000000000
0,3,600.000000000,-50.000000000
0,4,800.000000000,0.000000000
0,5,1000.000000000,-80.000000000
0,6,1200.000000000,0.000000000
0,7,1400.000000000,150.000000000
0,8,1450.000000000,300.000000000
0,9,1400.000000000,500.000000000
0,10,1300.000000000,650.000000000
0,11,1150.000000000,750.000000000
0,12,1000.000000000,800.000000000
0,13,800.000000000,850.000000000
0,14,600.000000000,800.000000000
0,15,400.000000000,850.000000000
0,16,200.000000000,800.000000000
0,17,50.000000000,700.000000000
0,18,-100.000000000,550.000000000
0,19,-150.000000000,400.000000000
0,20,-150.000000000,250.000000000
0,21,-100.000000000,100.000000000
1,0,100.000000000,200.000000000
1,1,100.000000000,350.000000000
1,2,150.000000000,500.000000000
1,3,250.000000000,550.000000000
1,4,350.000000000,500.000000000
1,5,350.000000000,350.000000000
1,6,300.000000000,200.000000000
2,0,550.000000000,150.000000000
2,1,500.000000000,300.000000000
2,2,550.000000000,450.000000000
2,3,650.000000000,500.000000000
2,4,750.000000000,450.000000000
2,5,800.000000000,300.000000000
2,6,750.000000000,150.000000000
3,0,1000.000000000,250.000000000
3,1,1020.000000000,350.000000000
3,2,1080.000000000,500.000000000
3,3,1200.000000000,600.000000000
3,4,1250.000000000,500.000000000
3,5,1200.000000000,350.000000000
3,6,1100.000000000,200.000000000
Total signed area in input: 9.845000e+05
Total signed area in output: 9.845000e+05
Total areal displacement: 0.000000e+00
